id,user_id,start_time,end_time,zone_offset,created_at,updated_at,session_duration,local_datetime
2572,1000,6:11:06,6:12:06,-420,8/10/2023 13:13,8/10/2023 13:13,0:01:00,8/10/2023 6:13
2573,1000,7:32:57,7:34:57,-420,8/10/2023 15:24,8/10/2023 15:24,0:02:00,8/10/2023 8:24
2574,1000,10:46:38,10:48:38,-420,8/10/2023 17:49,8/10/2023 17:49,0:02:00,8/10/2023 10:49
2575,1000,11:01:06,11:03:06,-420,8/10/2023 18:04,8/10/2023 18:04,0:02:00,8/10/2023 11:04
2576,1000,9:23:40,9:25:40,-420,8/11/2023 23:34,8/11/2023 23:34,0:02:00,8/11/2023 16:34
2577,1000,16:34:48,16:36:48,-420,8/12/2023 0:00,8/12/2023 0:00,0:02:00,8/11/2023 17:00
2578,1000,7:20:36,7:23:36,-420,8/12/2023 14:25,8/12/2023 14:25,0:03:00,8/12/2023 7:25
2579,1000,7:26:20,7:27:20,-420,8/13/2023 14:27,8/13/2023 14:27,0:01:00,8/13/2023 7:27
2580,1000,7:31:21,7:33:21,-420,8/13/2023 18:07,8/13/2023 18:07,0:02:00,8/13/2023 11:07
2581,1000,16:04:31,16:05:46,-420,8/13/2023 23:05,8/13/2023 23:05,0:01:12,8/13/2023 16:05
2582,1000,16:07:45,16:09:45,-420,8/13/2023 23:23,8/13/2023 23:23,0:02:00,8/13/2023 16:23
2583,1000,7:16:28,7:18:28,-420,8/14/2023 20:11,8/14/2023 20:11,0:02:00,8/14/2023 13:11
2584,1000,18:15:47,18:18:47,-420,8/15/2023 1:20,8/15/2023 1:20,0:03:00,8/14/2023 18:20
2585,1000,7:40:31,7:42:31,-420,8/15/2023 14:53,8/15/2023 14:53,0:02:00,8/15/2023 7:53
2586,1000,16:40:37,16:42:37,-420,8/16/2023 0:08,8/16/2023 0:08,0:02:00,8/15/2023 17:08
2587,1000,7:55:42,7:58:42,-420,8/16/2023 14:59,8/16/2023 14:59,0:03:00,8/16/2023 7:59
